id,embedding
S10_1678,"[0.04931903, 0.24690953, 0.028729703, 0.38151702, 0.29199854, 0.08470583, -0.24183333, -0.13286938, 0.13751243, -0.095497586, -0.22104336, 0.2846088, -0.19686683, -0.17165725, -0.12988557, 0.16168003, 0.0040972624, 0.22281031, 0.29657024, -0.07635217, 0.32004964, 0.048621517, 0.101467125, -0.00053646334, 0.19042963, -0.06421485, -0.20046881, 0.0022034612, 0.105783574, -0.03352717, -0.03138172, 0.01031857]"
S10_1949,"[-0.033988822, 0.27568513, 0.04497538, -0.22764194, -0.045740742, 0.011996962, 0.10435341, -0.26196223, 0.05969994, -0.09530334, 0.17036049, 0.36197597, -0.372739, -0.032586835, 0.110247195, -0.1293008, 0.14860372, -0.37226, -0.10136229, 0.15577757, 0.3659552, 0.15380843, 0.124666266, 0.06810654, 0.06863105, 0.13606514, -0.17363732, -0.059115425, 0.011332286, 0.09951604, 0.06997594, 0.03040522]"
S10_2016,"[0.10210687, 0.3137726, -0.0104135815, -0.09596, -0.15047197, -0.06233401, -0.10150875, -0.0651323, -0.00093585625, -0.19706485, 0.116757505, 0.31396526, -0.24830267, 0.042141166, 0.4548835, 0.15890662, -0.028149948, -0.15160291, 0.16011441, 0.21747279, 0.3239763, -0.0019883376, -0.202201, 0.12679863, 0.039393995, 0.35549644, 0.020428183, 0.043101665, 0.04877374, -0.046924837, -0.025647847, 0.0032152724]"
S10_4698,"[0.034585383, 0.033587366, 0.16471621, 0.17003582, -0.34865454, -0.062381476, 0.12842274, 0.20649563, 0.44503674, -0.05658115, -0.26378617, -0.0025190664, -0.046364564, -0.02275873, -0.13250421, -0.090565994, -0.056059375, -0.31892654, 0.002310269, -0.19344427, 0.107541226, 0.16698323, -0.14229916, -0.3288005, -0.2138704, -0.09491951, 0.16711318, 0.02094945, -0.11963477, -0.17327954, 0.07959735, 0.11786397]"
S10_4757,"[0.052432448, 0.17136174, 0.027438356, -0.37328273, -0.25266907, -0.009715201, 0.1098117, 0.26593593, 0.23835884, -0.033965178, -0.06729998, 0.28924188, -0.46148884, -0.06376116, -0.059264235, -0.04859571, 0.14803079, -0.44738322, 0.05649616, 0.007903395, 0.18428047, 0.010738797, -0.097096056, -0.05051577, 0.049109872, -0.0027619884, -0.11923716, -0.11342688, 0.025290448, 0.045445584, -0.049691, 0.07717903]"
S10_4962,"[-0.08445204, 0.09341785, 0.19433993, -0.10639807, -0.09877699, -0.36910146, -0.16296247, 0.009380088, 0.13346128, 0.074693434, -0.046041243, 0.14702857, -0.16826765, 0.07589743, 0.19483922, -0.20789286, -0.02639601, -0.3072108, 0.001453966, 0.14821127, 0.14218378, 0.2862656, -0.035492342, -0.25413722, 0.016321667, 0.23278049, -0.17337239, 0.3391724, 0.053139605, 0.058439583, 0.30471116, 0.12782781]"
S12_1099,"[-0.12568547, 0.16887036, 0.052076824, 0.216897, 0.08922013, -0.1856313, -0.15003587, 0.17813209, -0.18120706, -0.20084177, -0.43809292, 0.14284116, -0.19585024, -0.18880244, -0.12576954, 0.15698686, -0.31923148, -0.28591383, -0.050370485, -0.067542925, 0.12459996, 0.0326017, 0.19671205, 0.033588536, 0.08803545, -0.058751445, -0.0013374641, 0.33082995, 0.017891208, -0.07950614, 0.16281964, -0.09126537]"
S12_1108,"[-0.1671171, 0.10575795, -0.12002917, -0.041963495, 0.0048466795, -0.10817814, -0.23603562, -0.22582076, -0.17203881, -0.030356256, 0.23914815, 0.21506886, -0.25243384, 0.08881484, 0.10601146, -0.08534583, 0.13514853, -0.3576259, -0.05150633, 0.21489263, 0.18945934, 0.16472833, 0.056242876, 0.103757754, 0.15234952, 0.13624969, -0.21956638, 0.13543172, 0.2403463, 0.31903312, 0.24959977, -0.0077736806]"
S12_1666,"[0.07696053, 0.084769785, -0.11003374, -0.20960036, -0.22021429, 0.20449382, 0.041194785, 0.11104783, 0.14477687, -0.0025190224, -0.054346878, 0.08121402, -0.13121924, -0.19454455, 0.30211538, 0.19959629, 0.22500257, -0.19429477, 0.20548922, 0.3610831, 0.004325787, -0.10433836, 0.018165076, 0.21256605, 0.1574558, 0.3168175, -0.09457519, -0.3205633, 0.06697109, 0.056005456, -0.21241167, -0.052934047]"
S12_2823,"[0.10710269, 0.07076651, 0.2308886, 0.26076394, -0.13656731, 0.025687205, 0.18659689, -0.39969656, 0.41050777, 0.015591961, 0.07969128, 0.07599049, -0.06647824, -0.12497188, -0.1436097, -0.096321285, 0.19795632, -0.3558756, 0.07425608, 0.14152455, 0.24189077, 0.27005345, 0.11977621, -0.008244698, -0.023699036, -0.027457556, -0.105313785, -0.16264842, -0.15678172, -0.06552609, 0.079595834, 0.07874855]"
S12_3148,"[0.27440766, 0.15764962, 0.27313805, -0.27484807, -0.21949346, -0.23487143, 0.32757682, -0.2322898, -0.005350837, 0.002399923, 0.12226885, 0.23690997, -0.23964636, -0.07738494, 0.06512813, -0.07049089, 0.0015881833, -0.2568048, 0.038572118, 0.19110234, 0.19521631, 0.14731954, 0.03757623, 0.07914866, 0.10667202, 0.1198785, -0.19910914, 0.060941372, -0.26806226, -0.15258096, 0.06382763, 0.039821126]"
